threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,sensitivity,specificity,true_negatives,false_positives,false_negatives,true_positives
0.63,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.64,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.65,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9976851851851851,0.9961867550130692,0.9047619047619048,1.0,72,0,4,38
0.66,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9976851851851851,0.9961867550130692,0.8809523809523809,1.0,72,0,5,37
0.67,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9976851851851851,0.9961867550130692,0.8809523809523809,1.0,72,0,5,37
0.68,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9976851851851851,0.9961867550130692,0.8809523809523809,1.0,72,0,5,37
0.69,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9976851851851851,0.9961867550130692,0.8809523809523809,1.0,72,0,5,37
0.7,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.71,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.72,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.73,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.74,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.75,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.76,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.77,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.78,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9976851851851851,0.9961867550130692,0.8333333333333334,1.0,72,0,7,35
0.79,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.9976851851851851,0.9961867550130692,0.8095238095238095,1.0,72,0,8,34
0.8,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.9976851851851851,0.9961867550130692,0.8095238095238095,1.0,72,0,8,34
0.81,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9976851851851851,0.9961867550130692,0.7619047619047619,1.0,72,0,10,32
0.82,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9976851851851851,0.9961867550130692,0.7619047619047619,1.0,72,0,10,32
0.83,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9976851851851851,0.9961867550130692,0.7619047619047619,1.0,72,0,10,32
0.84,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9976851851851851,0.9961867550130692,0.7619047619047619,1.0,72,0,10,32
0.85,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9976851851851851,0.9961867550130692,0.7619047619047619,1.0,72,0,10,32
0.86,0.9035087719298246,1.0,0.7380952380952381,0.8493150684931506,0.9976851851851851,0.9961867550130692,0.7380952380952381,1.0,72,0,11,31
0.87,0.9035087719298246,1.0,0.7380952380952381,0.8493150684931506,0.9976851851851851,0.9961867550130692,0.7380952380952381,1.0,72,0,11,31
0.88,0.9035087719298246,1.0,0.7380952380952381,0.8493150684931506,0.9976851851851851,0.9961867550130692,0.7380952380952381,1.0,72,0,11,31
0.89,0.9035087719298246,1.0,0.7380952380952381,0.8493150684931506,0.9976851851851851,0.9961867550130692,0.7380952380952381,1.0,72,0,11,31
0.9,0.8947368421052632,1.0,0.7142857142857143,0.8333333333333334,0.9976851851851851,0.9961867550130692,0.7142857142857143,1.0,72,0,12,30
0.91,0.8859649122807017,1.0,0.6904761904761905,0.8169014084507042,0.9976851851851851,0.9961867550130692,0.6904761904761905,1.0,72,0,13,29
0.92,0.868421052631579,1.0,0.6428571428571429,0.782608695652174,0.9976851851851851,0.9961867550130692,0.6428571428571429,1.0,72,0,15,27
0.93,0.868421052631579,1.0,0.6428571428571429,0.782608695652174,0.9976851851851851,0.9961867550130692,0.6428571428571429,1.0,72,0,15,27
0.94,0.8508771929824561,1.0,0.5952380952380952,0.746268656716418,0.9976851851851851,0.9961867550130692,0.5952380952380952,1.0,72,0,17,25
0.95,0.8333333333333334,1.0,0.5476190476190477,0.7076923076923077,0.9976851851851851,0.9961867550130692,0.5476190476190477,1.0,72,0,19,23
